id,question,options,correct_answer,type
1,安鑫添益策略是保本理财产品？,A、对|B、错,B,single
2,基金投顾的分红方式是红利再投资，客户可以自行修改分红方式,A、对|B、错,B,single
3,基金投顾定投连续三个周期扣款失败会终止定投,A、对|B、错,A,single
4,季季红的风险等级为中低风险,A、对|B、错,A,single
5,季季红的账户管理费为年化0.4%,A、对|B、错,A,single
6,季季红建议持有时间为3个月以上,A、对|B、错,A,single
7,开展基金投顾业务，应该定期对客户风险承受能力进行再评估,A、对|B、错,A,single
8,清仓为与组合的解约，会销去财富账户，所有份额会全部赎回。,A、对|B、错,A,single
9,蜻蜓管家不支持7*24小时签约,A、对|B、错,B,single
10,同一个客户开通了两个资金账号，两个账户可以同时签约基金投顾,A、对|B、错,A,single
11,只要具备了证券从业资格的员工即可进行基金投顾业务宣传,A、对|B、错,B,single
12,基金投顾业务宣传推介应客观、准确、完整，不得（  ）,A、提供虚假、不实、误导性信息|B、承诺收益或作出保本承诺|C、直接或者间接提及模拟业绩、为个别客户创造的收益|D、预测未来业绩,ABCD,multiple
13,价值典范的客户需求特征是（  ）,A、较高收益、长周期、低波动|B、高收益、短周期、高波动|C、稳定收益、长周期、低波动|D、高收益、中长周期、高波动,D,single
14,价值典范适合如下哪类客户人群？,A、追求流动性|B、追求保值|C、追求增值|D、追求高收益,C,single
15,开展基金投顾业务，应当加强投资者教育，通过风险揭示书等向客户充分揭示哪些风险（  ）,A、市场风险|B、信用风险|C、流动性风险|D、法律风险|E、其他投资风险,ABCDE,multiple
16,下列选项哪一个是安鑫添益适配客户承受能力的等级,A、C1级及以上|B、C2级及以上|C、C3级及以上|D、C4级及以上,A,single
17,下列选项哪一个是步步为营适配客户承受能力的等级,A、C1级及以上|B、C2级及以上|C、C3级及以上|D、C4级及以上,C,single
18,下列选项哪一个是称心均衡（岁岁盈）适配客户承受能力的等级,A、C1级及以上|B、C2级及以上|C、C3级及以上|D、C4级及以上,B,single
19,下列选项哪一个是价值典范适配客户承受能力的等级,A、C1级及以上|B、C2级及以上|C、C3级及以上|D、C4级及以上,C,single
20,宣传推介基金投顾业务，可以提及（ ）以上的特定基金投资组合策略整体业绩,A、1年|B、3个月|C、6个月|D、3年,A,single
21,以下关于“勇攀高峰”说法错误的是,A、适配客户风险承受能力为C3、C4、C5|B、资产配置中权益类基金比例在70-95%|C、产品风险等级为R4|D、比较基准是中债综合指数*20%+中证全指信息指数*40%+中证医药指数*40%,C,single
22,“勇攀高峰”满足的是哪类客户需求（ ）。,A、满足追求增值，能忍受一定波动的客户需求|B、满足追求高收益，有较大风险容忍度的客户的需求|C、满足对回撤有一定控制要求的客户需求|D、满足追求保值且投资期限大于6个月的客户,B,single
23,“勇攀高峰”专注投资哪两大高弹性赛道？,A、医药生物科技|B、信息科技|C、国防军工|D、有色金属,AB,multiple
24,在蜻蜓管家中，称心均衡（岁岁盈）建议持有期是（ ）？,A、9个月|B、11个月|C、8-12个月|D、8-16个月,C,single
