id,tag,question,options,correct_answer,type,font_size
1,第一组单选必答,1. 如果地方债利息收入按税前还原进行估值，则地方债税前还原利息收入 = 实际利息收入÷（    ）,A、0.25|B、0.45|C、0.65|D、0.75,D,single,60
2,第一组单选必答,2. 债券只要不发生（   ），到期收益总是确定的。,A、信用风险|B、利率风险（市场风险）|C、再投资风险|D、质押券变动风险,A,single,60
3,第一组单选必答,3. 基金投顾策略称心均衡（季季红）是一款低波固收+策略，权益中枢仓位5%，它成立以来最大回撤最可能是？,A、0.01|B、0.02|C、0.04|D、0.08,A,single,60
4,第一组单选必答,4. 假设其他条件不变，一份平值认购期权合约gamma为3，当标的变动2元，该期权合约价值变动（ ）元？,A、4|B、6|C、8|D、10,B,single,60
5,第一组单选必答,5. 中国证券登记结算有限责任公司最低备付金的调整周期是：,A、1个月|B、1个季度|C、1年|D、按照需要随时调整,A,single,60
6,第一组单选必答,6. 投资者将所持有的某一私募证券投资基金转换为同一管理人管理的其他私募证券投资基金。管理人同意后需在管理人服务平台上传哪个材料,A、转换交易申请单|B、申购申请单|C、赎回申请单|D、转入产品合同,A,single,60
7,第一组单选必答,7. 现有一客户做挂钩资产为境外股票的跨境收益互换，若期间发生分红，其中客户可以拿到多头收益互换的分红金额为税后，客户需要支付的空头收益互换的分红金额为税前,A、多头正确，空头错误|B、多头错误，空头正确|C、多头错误，空头错误|D、多头正确，空头正确,D,single,60
8,第一组单选必答,8. 一般来说，在其他条件不变的情况下随着时间临近到期，普通期权的时间价值（   ）。,A、逐渐变大 |B、保持不变|C、始终为零|D、逐渐变小,D,single,60
9,第一组单选必答,9. 对于融券头寸业务可申请预约的证券种类，下面说法正确的是,A、必须在交易所发布的融券标的的范围内，可以为公司通过自营持仓的路径获得的券源|B、必须在转融券标的的范围内，不可以为公司通过自营持仓的路径获得的券源|C、必须在交易所发布的融券标的的范围内，不可以为公司通过自营持仓的路径获得的券源|D、必须在转融券标的的范围内，可以为公司通过自营持仓的路径获得的券源,A,single,50
10,第一组单选必答,10. 客户融资买入的标的证券被调整出标的证券范围，但是对应的融资合约还未到期，则该合约的到期日该怎么调整？,A、原合约到期日不变|B、该证券被调出当日，合约即到期|C、原合约到期日将被提前至调出标的范围后的第2个交易日|D、原合约到期日将被提前至调出标的范围后的第5个交易日,A,single,51
11,第一组单选必答,11. 基金管理人应当在每季度的监察稽核报告中列明：,A、基金销售费用的具体支付项目|B、基金销售费用的使用情况|C、从管理费中支付的客户维护费总额|D、以上都是,D,single,60
